 ,P1 (ref),P2,P3,N1,N2,KOMENTÁŘ ÚTRL,vzájemné revize - ukázky
"Pete Townshend explained what was going on to the audience: ""It sounds like he cannot do any more, I'm afraid...""","Pete Townshend vysvětlil publiku, co se děje: „Bohužel to vypadá, že už nemůže dělat víc...“","Pete Townshend vysvětlil publiku, co se děje: ""Vypadá to, že už nemůže, obávám se...""","Pete Townshend vysvětlil publiku, co se děje: “Zdá se, že víc už nezvládne, obávám se…”","Pete Townshend vysvětlil publiku, co se děje: „Bohužel to vypadá, že už nemůže dělat víc...“","Poté před návštěvníky koncertu předstoupil Pete Townshend a vysvětlil, co se děje: „Bohužel to vypadá, že už nemůže pokračovat...“","koherence: přechod na jiného aktéra (z Daltreye na Townshenda), proto Townshend by měl být v rématu (N2)",
"The band left the stage, originally suggesting they would try to work out the rest of the set without Roger.","Kapela opustila pódium a původně uvažovala, že by se pokusila dohrát zbytek koncertu bez Rogera.","Kapela opustila jeviště, i když původně navrhovala, že zkusí dohrát zbytek bez Rogera.","Skupina opustila jeviště, zprvu naznačili, že se pokusí odehrát zbytek setu bez Rogera.","Kapela opustila pódium, původně však zvažovala, že by se pokusila dohrát zbytek koncertu bez Rogera.",,,
"When he returned, Townsend said: ""I'm really, really sorry. Roger cannot actually speak now.","Když se Townsend vrátil na pódium, řekl: „Je mi to opravdu moc líto. Roger teď nemůže mluvit.","Když se vrátil, řekl Townshed: ""Opravdu se moc, moc omlouvám. Roger teď vůbec nemůže mluvit.","Když se Townsend vrátil, řekl: “Je mi to opravdu, opravdu líto. Roger v tuto chvíli nemůže mluvit.","Když se pak Townshend vrátil na pódium, řekl: „Je mi to opravdu moc líto. Roger teď nemůže mluvit.“",,"originál překlep Townsend místo Townshend
na rozdíl od angličtiny citaci uzavíráme uvozovkami už na konci odstavce, přestože dál pokračuje v dalším odstavci/buňce",
"""Apparently, before the show, he saw a doctor, and you know, he's been singing so f***ing great through this tour. I don't know what the f*** is going on. He has been on top of his game.","„Zjevně před představením mluvil se svým doktorem, a vy víte, že na tomhle turné zpíval zatraceně dobře. Nevím, co se to k ***a děje. Byl na vrcholu svého vystoupení.","""Zřejmě byl před vystoupením u doktora, a víte, zpívá tak zatraceně dobře během tohohle turné. Nevím, co se to, sakra, děje. Byl ve vrcholné formě.""","“Zřejmě před show navštívil doktora, a víte, zpíval fakt úžasně po celou dobu tohoto turné. Vůbec nevím, co se stalo. Byl ve vrcholné formě.","„Prý před koncertem mluvil s doktorem a víte, na tomhle turné zpíval zatraceně dobře. Nevím, co se to sakra děje. Byl ve vrcholné formě.“",,,
"""I'm really sorry this has happened to you guys tonight... I don't think there is much point trying to put anything together that makes any sense because this is Roger's show and he's not in good shape.""","„Opravdu mě moc mrzí, co se dneska večer stalo, kamarádi ... Nemyslím, že má smysl pokoušet se dát dohromady něco smysluplného, protože tohle je Rogerova show a ten není v dobré kondici.“","""Opravdu mě mrzí, lidi, že se vám tohle dneska v noci stalo... Myslím, že nemá moc smysl zkoušet dát něco dohromady, co by mělo smysl, protože tohle je Rogerova show a on není ve formě.""","“Je mi líto, že se vám toto dnes večer stalo…Myslím, že nemá cenu tu dávat něco dohromady, protože je to Rogerova show a on není v dobré formě.”","„Opravdu mě moc mrzí, co se vám dneska večer přihodilo, kamarádi... Nemyslím, že má smysl pokoušet se dát dohromady něco smysluplného, protože tohle je Rogerův večer a on není v dobré kondici.“",,,
"The crowd was completely supportive, cheering the 74-year-old as he explained what had happened and how the band hoped to return to honour their commitment to the show.","Dav vše naprosto chápal a povzbuzoval 74letého muže, když vysvětloval, co se stalo a že kapela doufala, že se vrátí na pódium, aby splnila svůj závazek vůči publiku.","Dav byl zcela chápavý a 74letého muže podporoval, když vysvětloval, co se stalo a jak kapela doufá, že se bude moci vrátit a dostát svému závazku  udělat show.","Dav tomu zcela porozuměl, a podpořili 74letého muzikanta v jeho snaze vysvětlit, co se děje, a při slibu kapely, že se vrátí.","Publikum projevilo porozumění a 74letého hudebníka povzbuzovalo, když vysvětloval, co se stalo a že kapela věří, že se jednou vrátí a svůj závazek vůči návštěvníkům koncertu splní. ","Diváci projevili pochopení, a když čtyřiasedmdesátiletý muzikant vysvětloval, k čemu došlo a že kapela věří, že se jednou vrátí koncert dohrát, čile jej povzbuzovali.",,
"Townsend said; ""We will publish a date for our return as soon as we can. Let me explain one thing... We only do one day on, one day off. This is because Roger's vocal surgeon insists he has a day off...","Townsend řekl; „Jakmile to půjde, zveřejníme datum našeho návratu. Chci vám vysvětlit jednu věc ... Děláme vždy jen jeden den a jeden den máme volno. Důvodem je, že Rogerův hlasový chirurg trvá na tom, aby dnes nepracoval ...“","Townshend řekl:""Zveřejníme datum svého návtratu, jak jen budeme moci. Nechte mě vysvětlit jednu věc... Jeden den hrajeme, jeden den nehrajeme. To proto, že Rogerův chirurg přes hlasivky trvá na tom, aby měl den volna.","Townsend řekl: “Datum našeho návratu oznámíme, jakmile to bude možné. Musím vysvětlit jednu věc… Jeden den vystupujeme a další den máme volno. To protože Rogerův specializovaný chirurg trvá na tom, aby měl den volna…","Townshend řekl: „Jakmile to půjde, zveřejníme datum našeho návratu. Chci vám vysvětlit jednu věc... Jeden den hrajeme a jeden den máme volno. Je to z toho důvodu, že Rogerův foniatr trvá na tom, aby měl vždy jeden den volno...“",,"originál má překlep Townsend místo Townshend; dále středník místo dvojtečky
",
"""I swear to you we will come back and we will honour your tickets. I love you so much and I'm sorry to let you down.""","„Slibuji vám, že se vrátíme a splníme to, co očekáváte za své peníze. Mám vás moc rád a je mi líto, že jsme vás tolik zklamali.“","""Slibuji vám, že se vrátíme a že uplatníte svoje vstupenky. Mám vás moc rád a mrzí mě, že vás musím zklamat.""","“Přísáhám vám, že se vrátíme a dokončíme show. Miluju vás a omlouvám se, že jsme vás zklamali.”","„Slibuju vám, že se vrátíme a vy se dočkáte toho, na co máte nárok. Mám vás moc rád a mrzí mě, že jsme vás zklamali.“",,,
"Following the show, the upcoming Friday and Sunday night concerts in Dallas and Denver were cancelled.",Po představení byly zrušeny také nadcházející páteční a nedělní noční koncerty v Dallasu a Denveru.,Po této show byly nadcházející koncerty v pátek a v sobotu večer v Dallasu a Denveru zrušeny.,"Následující show, další páteční a nedělní koncertní noci v Dallasu a Denveru, byly zrušeny.",Po ukončení koncertu byla zrušena také nadcházející vystoupení v pátek a v neděli večer v Dallasu a Denveru.,"Po předčasném ukončení akce skupina zrušila rovněž nadcházející koncerty, jež měla odehrát v pátek a v neděli večer v Dallasu a Denveru.",,
"Their next show is on October 9 in San Francisco. The band will open their UK tour in Manchester n March 16, 2020.",Další vystoupení hudební skupiny se uskuteční 9. října v San Franciscu. Kapela zahájí své turné po Velké Británii v Manchesteru 16. března 2020.,Jejich příští show je 9. října v San Franciscu. Kapela zahájí své turné po Británii v Manchestru 16. března 2020.,"Jejich další show je 9. října v San Franciscu. Kapela zahájí své turné ve Velké Británii v Manchesteru 16. března, 2020.",Další vystoupení skupiny se uskuteční 9. října v San Franciscu. Kapela zahájí své turné po Velké Británii v Manchesteru 16. března 2020.,Další vystoupení skupiny je plánováno na 9. října v San Francisku. Své turné po Velké Británii kapela zahájí 16. března 2020 v Manchesteru.,"originál překlep n místo on
N2 koherentnější (respektuje přirozené AČV i pořadí adverbiálií času a místa)",
,,,,,,,
,,,,,,,
foxnews.100073,,,,,,,
"US sends troops, air defense systems to Saudi Arabia to deter Iran attacks","USA posílají do Saúdské Arábie vojenské jednotky, systémy protivzdušné obrany, aby odrazily útoky Íránu","USA poslaly ozbrojené síly, systémy vzdušné obrany do Saúdské Arábie, aby odradily Írán od útoků","Spojené státy posílají vojenské jednotky a letecké obranné systémy do Saudské Arábie, aby tak odradily Irán od útoků","USA posílají do Saúdské Arábie vojenské jednotky a systémy protivzdušné obrany, aby odradily Írán od útoků","USA posílají do Saúdské Arábie vojenské jednotky a letecké obranné systémy, aby zastrašily Írán",,
"The U.S. is sending a Patriot missile battery, four ground-based radar systems, and 200 support troops to Saudi Arabia to deter Iran's increasingly aggressive behavior, officials announced Thursday.","USA posílají do Saúdské Arábie raketovou baterii Patriot, čtyři pozemní radarové systémy a 200 podpůrných vojenských jednotek, aby se bránily proti stále agresivnějšímu chování Íránu, oznámily ve čtvrtek úřady.","USA posílá baterii raket Patriot, čtyři pozemní radarové systémy a 200 členů podpůrných jednotek do Saúdské Arábie, aby odradila Írán od čím dál tím agresivnějšího chování, oznámili činitelé ve čtvrtek.","Spojené státy posílají baterii Patriotů, čtyří pozemní radary, a 200 podpůrných vojenských jednotek do Saudské Arábie, aby odradili Irán od jeho zvyšující se agrese, uvedly úřady ve čtvrtek.","Spojené státy vysílají do Saúdské Arábie raketovou baterii Patriot, čtyři pozemní radarové systémy a vojenskou jednotku o počtu 200 vojáků, aby zabránily stále agresivnějšímu chování Íránu, oznámily ve čtvrtek úřady.","Jak ve čtvrtek oznámily úřady, USA vysílají do Saúdské Arábie raketovou baterii Patriot, čtyři pozemní radarové systémy a jednotku čítající dvě stě vojáků, aby zabránily stále agresivnějšímu chování Íránu.",,
"A THAAD missile defense system and two additional Patriot missile batteries are prepared to go if needed, the Pentagon said.","Raketový obranný systém THAAD a další dvě raketové baterie Patriot jsou v případě potřeby připraveny, řekl Pentagon.","Obranný raketový systém THAAD a dvě další raketové baterie Patriot jsou připraveny k použití, pokud bude potřeba, uvedl Pentagon.","Raketový obranný systém THAAM a další baterie Patriotů jsou připraveny, pokud bude třeba,  řekl Pentagon.","Pentagon uvedl, že v případě potřeby je připraven k nasazení rovněž raketový obranný systém THAAD i další dvě raketové baterie Patriot.","Zástupci Pentagonu uvedli, že pokud bude třeba, jsou USA připraveny do oblasti vyslat rovněž raketový obranný systém THAAD i další dvě raketové baterie Patriot.","AČV: ani jeden P nevystihl rematickou povahu anglického podmětu
N2 explicitace činitele USA",
"""Other countries have called out Iranian misadventures in the region, and we look for them to contribute assets in an international effort to reinforce Saudi Arabia's defense,"" Pentagon spokesman Jonathan Hoffman said.","„Další země vyzvaly Írán, aby upustil od násilného chování v tomto regionu, a my se snažíme, aby se aktivně zapojily do mezinárodní snahy o posílení obrany Saúdské Arábie,“ řekl mluvčí Pentagonu Jonathan Hoffman.","""Další země ohlásily íránské incidenty v regionu, a my se jim snažíme přispět aktivy v mezinárodním úsilí o posílení saúdskoarabské obrany,"" řekl mluvčí Pentagonu Jonathan Hoffman.","“Ostatní země chování Iránu v oblasti odsuzují a my se na ně obracíme, aby přispěli svými zdroji k mezinárodnímu úsilí posílit obranu Saudské Arábie,” řekl mluvčí Pentagonu Jonathan Hoffman.","„I další země upozornily na násilné chování Íránu v tomto regionu a my se snažíme, aby se aktivně zapojily do mezinárodní snahy o posílení obrany Saúdské Arábie,“ řekl mluvčí Pentagonu Jonathan Hoffman.","„Také další země odsoudily násilné chování Íránu v této oblasti, a my se snažíme, aby se aktivně zapojily do mezinárodního úsilí o posílení obrany Saúdské Arábie,“ řekl mluvčí Pentagonu Jonathan Hoffman.",,
